date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:41	121/121	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2021%20Sep%202016%2013:54:40%20GMT	http://gonefish.info/robots.txt		(from )
21:54:52	46074/46074	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:54:42%20GMT	http://gonefish.info/	gonefish.info/index.html	(from )
21:54:54	69779/69779	---MCZ	200	added ('OK')	text/css	etag:W/%22cc16ac-11093-53cf8cc5117ad%22	http://gonefish.info/wp-content/themes/twentysixteen/style.css?ver=4.6.1	gonefish.info/wp-content/themes/twentysixteen/style1c9b.css	(from http://gonefish.info/)
21:54:56	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fa12e4-2748-535cdd156aff7%22	http://gonefish.info/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	gonefish.info/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://gonefish.info/)
21:54:56	97184/97184	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fa0bda-17ba0-535cdd156aff7%22	http://gonefish.info/wp-includes/js/jquery/jquery.js?ver=1.12.4	gonefish.info/wp-includes/js/jquery/jqueryb8ff.js	(from http://gonefish.info/)
21:54:58	1004/1004	---MCZ	200	added ('OK')	application/json	date:Wed,%2021%20Sep%202016%2013:54:57%20GMT	http://gonefish.info/wp-json/	gonefish.info/wp-json/index.html	(from http://gonefish.info/)
21:54:59	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22ba0e93-415-4eda69f6050f8%22	http://gonefish.info/wp-includes/wlwmanifest.xml	gonefish.info/wp-includes/wlwmanifest.xml	(from http://gonefish.info/)
21:55:00	812/812	---MCZ	200	added ('OK')	text/xml	date:Wed,%2021%20Sep%202016%2013:54:57%20GMT	http://gonefish.info/xmlrpc.php?rsd	gonefish.info/xmlrpc0db0.php	(from http://gonefish.info/)
21:55:19	6994/6994	---MC-	200	added ('OK')	application/rss+xml	etag:%22323816464af418fff0bb1178a1f18288%22	http://gonefish.info/comments/feed/	gonefish.info/comments/feed/index.html	(from http://gonefish.info/)
21:55:22	24998/24998	---MC-	200	added ('OK')	application/rss+xml	etag:%22f3f753d9b9ca4676a03391b18d15a3a1%22	http://gonefish.info/feed/	gonefish.info/feed/index.html	(from http://gonefish.info/)
21:55:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202016%2013:55:23%20GMT	http://gonefish.info/webkit-fake-url://40ECEEAB-7BD0-4220-8B8E-088E1A09AA8B/2181150064.jpg	gonefish.info/webkit-fake-url_/40ECEEAB-7BD0-4220-8B8E-088E1A09AA8B/2181150064.9.delayed	(from http://gonefish.info/)
21:55:26	22632/22632	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:55:20%20GMT	http://gonefish.info/2016/03/%e3%80%8a%e6%88%90%e4%b8%ba%e6%8a%80%e6%9c%af%e9%a2%86%e5%af%bc%e8%80%85%e3%80%8b%e8%84%91%e5%9b%be%e7%ac%94%e8%ae%b0/	gonefish.info/2016/03/%e3%80%8a%e6%88%90%e4%b8%ba%e6%8a%80%e6%9c%af%e9%a2%86%e5%af%bc%e8%80%85%e3%80%8b%e8%84%91%e5%9b%be%e7%ac%94%e8%ae%b0/index.html	(from http://gonefish.info/)
21:55:28	292163/292163	---M--	200	added ('OK')	application/zip	etag:%22c000a1-47543-52ecdde158ed4%22	http://gonefish.info/wp-content/uploads/2016/03/%e6%88%90%e4%b8%ba%e6%8a%80%e6%9c%af%e9%a2%86%e5%af%bc%e8%80%85.xmind_.zip	gonefish.info/wp-content/uploads/2016/03/%e6%88%90%e4%b8%ba%e6%8a%80%e6%9c%af%e9%a2%86%e5%af%bc%e8%80%85.xmind_.zip	(from http://gonefish.info/)
21:55:32	23934/23934	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c003cb-5d7e-52cd663dd69b9%22	http://gonefish.info/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/scripts/shCore.js?ver=3.0.9b	gonefish.info/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/scripts/shCore09b1.js	(from http://gonefish.info/)
21:55:34	2423/2423	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c003ad-977-52cd663dd5249%22	http://gonefish.info/wp-content/plugins/syntaxhighlighter/third-party-brushes/shBrushObjC.js?ver=20091207	gonefish.info/wp-content/plugins/syntaxhighlighter/third-party-brushes/shBrushObjC516e.js	(from http://gonefish.info/)
21:55:35	6786/6786	---MCZ	200	added ('OK')	text/css	etag:W/%22c003c3-1a82-52cd663dd5e01%22	http://gonefish.info/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/styles/shCore.css?ver=3.0.9b	gonefish.info/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/styles/shCore09b1.css	(from http://gonefish.info/)
21:55:37	2994/2994	---MCZ	200	added ('OK')	text/css	etag:W/%22c003b5-bb2-52cd663dd5a19%22	http://gonefish.info/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/styles/shThemeDefault.css?ver=3.0.9b	gonefish.info/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/styles/shThemeDefault09b1.css	(from http://gonefish.info/)
21:55:38	1059/1059	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cc16ca-423-53cf8cc511b95%22	http://gonefish.info/wp-content/themes/twentysixteen/js/skip-link-focus-fix.js?ver=20160816	gonefish.info/wp-content/themes/twentysixteen/js/skip-link-focus-fix8de4.js	(from http://gonefish.info/)
21:55:39	46422/46422	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:55:23%20GMT	http://gonefish.info/author/admin/	gonefish.info/author/admin/index.html	(from http://gonefish.info/)
21:55:40	6820/6820	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cc16cc-1aa4-53cf8cc511b95%22	http://gonefish.info/wp-content/themes/twentysixteen/js/functions.js?ver=20160816	gonefish.info/wp-content/themes/twentysixteen/js/functions8de4.js	(from http://gonefish.info/)
21:55:41	1403/1403	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fa0004-57b-53cf2ace98e98%22	http://gonefish.info/wp-includes/js/wp-embed.min.js?ver=4.6.1	gonefish.info/wp-includes/js/wp-embed.min1c9b.js	(from http://gonefish.info/)
21:56:35	22337/22337	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:55:40%20GMT	http://gonefish.info/2016/03/%e5%a6%82%e4%bd%95%e5%9c%a8os-x%e4%b8%8a%e7%a6%81%e6%ad%a2%e7%85%a7%e7%89%87%e5%ba%94%e7%94%a8%e8%87%aa%e5%8a%a8%e6%89%93%e5%bc%80/	gonefish.info/2016/03/%e5%a6%82%e4%bd%95%e5%9c%a8os-x%e4%b8%8a%e7%a6%81%e6%ad%a2%e7%85%a7%e7%89%87%e5%ba%94%e7%94%a8%e8%87%aa%e5%8a%a8%e6%89%93%e5%bc%80/index.html	(from http://gonefish.info/)
21:56:37	1019991/1019991	---M--	200	added ('OK')	image/png	etag:%22c0009b-f9057-52ef4f9b2559f%22	http://gonefish.info/wp-content/uploads/2016/03/%e6%88%90%e4%b8%ba%e6%8a%80%e6%9c%af%e9%a2%86%e5%af%bc%e8%80%85.png	gonefish.info/wp-content/uploads/2016/03/%e6%88%90%e4%b8%ba%e6%8a%80%e6%9c%af%e9%a2%86%e5%af%bc%e8%80%85.png	(from http://gonefish.info/)
21:56:59	41592/41592	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:55:38%20GMT	http://gonefish.info/category/%e6%80%9d%e5%bf%b5%e7%9a%84%e4%b8%9c%e8%a5%bf/	gonefish.info/category/%e6%80%9d%e5%bf%b5%e7%9a%84%e4%b8%9c%e8%a5%bf/index.html	(from http://gonefish.info/)
21:57:12	46474/46474	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:55:43%20GMT	http://gonefish.info/category/osx/	gonefish.info/category/osx/index.html	(from http://gonefish.info/)
21:57:13	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2021%20Sep%202016%2013:57:13%20GMT	http://gonefish.info/xmlrpc.php	gonefish.info/xmlrpc.12.delayed	(from http://gonefish.info/2016/03/%e3%80%8a%e6%88%90%e4%b8%ba%e6%8a%80%e6%9c%af%e9%a2%86%e5%af%bc%e8%80%85%e3%80%8b%e8%84%91%e5%9b%be%e7%ac%94%e8%ae%b0/)
21:57:29	22109/22109	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202016%2013:56:36%20GMT	http://gonefish.info/2016/02/%e5%8f%af%e4%bb%a5%e7%94%a8swift%e5%86%99%e6%9c%8d%e5%8a%a1%e7%ab%af%e5%95%a6/	gonefish.info/2016/02/%e5%8f%af%e4%bb%a5%e7%94%a8swift%e5%86%99%e6%9c%8d%e5%8a%a1%e7%ab%af%e5%95%a6/index.html	(from http://gonefish.info/)
